province,year,month,form,count,capital_subscribed
Araba / Álava,2011,1,SA,3,36643743
Albacete,2011,1,SA,3,310278
Alicante / Alacant,2011,1,SA,7,4180665
Almería,2011,1,SA,0,0
Ávila,2011,1,SA,0,0
Badajoz,2011,1,SA,3,1547028
Illes Balears,2011,1,SA,5,6474397
Barcelona,2011,1,SA,50,103912523
Burgos,2011,1,SA,0,0
Cáceres,2011,1,SA,0,0
Cádiz,2011,1,SA,6,7490569
Castellón / Castelló,2011,1,SA,2,8500000
Ciudad Real,2011,1,SA,1,60000
Córdoba,2011,1,SA,2,337315
A Coruña,2011,1,SA,8,13326214
Cuenca,2011,1,SA,0,0
Girona,2011,1,SA,6,4090053
Granada,2011,1,SA,2,1524965
Guadalajara,2011,1,SA,0,0
Gipuzkoa,2011,1,SA,8,2361078
Huelva,2011,1,SA,1,65962211
Huesca,2011,1,SA,5,7314873
Jaén,2011,1,SA,0,0
León,2011,1,SA,5,1411100
Lleida,2011,1,SA,2,38093143
La Rioja,2011,1,SA,3,3104207
Lugo,2011,1,SA,0,0
Madrid,2011,1,SA,104,3594753112
Málaga,2011,1,SA,9,15715740
Murcia,2011,1,SA,4,603821
Navarra,2011,1,SA,2,1330039
Ourense,2011,1,SA,1,8000000
Asturias,2011,1,SA,9,9664106
Palencia,2011,1,SA,0,0
Las Palmas,2011,1,SA,7,6777779
Pontevedra,2011,1,SA,5,11318654
Salamanca,2011,1,SA,2,22913980
Santa Cruz de Tenerife,2011,1,SA,2,26250
Cantabria,2011,1,SA,2,1068163
Segovia,2011,1,SA,0,0
Sevilla,2011,1,SA,9,4736172
Soria,2011,1,SA,0,0
Tarragona,2011,1,SA,6,4297367
Teruel,2011,1,SA,1,1734977
Toledo,2011,1,SA,0,0
Valencia / València,2011,1,SA,17,5915708
Valladolid,2011,1,SA,1,13523
Bizkaia,2011,1,SA,16,859127396
Zamora,2011,1,SA,0,0
Zaragoza,2011,1,SA,11,4224751
Ceuta,2011,1,SA,0,0
Melilla,2011,1,SA,0,0
Araba / Álava,2011,1,SL,12,3552005
Albacete,2011,1,SL,25,5376554
Alicante / Alacant,2011,1,SL,96,57748531
Almería,2011,1,SL,57,12710958
Ávila,2011,1,SL,2,1013351
Badajoz,2011,1,SL,37,8854042
Illes Balears,2011,1,SL,99,51957961
Barcelona,2011,1,SL,412,517353887
Burgos,2011,1,SL,15,13836585
Cáceres,2011,1,SL,23,5413333
Cádiz,2011,1,SL,53,19647757
Castellón / Castelló,2011,1,SL,60,16071155
Ciudad Real,2011,1,SL,18,2874598
Córdoba,2011,1,SL,47,15951104
A Coruña,2011,1,SL,89,285182066
Cuenca,2011,1,SL,13,1820088
Girona,2011,1,SL,61,10484272
Granada,2011,1,SL,35,11964721
Guadalajara,2011,1,SL,6,874488
Gipuzkoa,2011,1,SL,41,18277400
Huelva,2011,1,SL,23,5176756
Huesca,2011,1,SL,16,2546649
Jaén,2011,1,SL,40,13548892
León,2011,1,SL,17,3456164
Lleida,2011,1,SL,58,10817825
La Rioja,2011,1,SL,21,5560069
Lugo,2011,1,SL,11,6647690
Madrid,2011,1,SL,707,659383258
Málaga,2011,1,SL,99,39679847
Murcia,2011,1,SL,90,64724294
Navarra,2011,1,SL,18,37406793
Ourense,2011,1,SL,16,2888889
Asturias,2011,1,SL,59,9851476
Palencia,2011,1,SL,7,2541130
Las Palmas,2011,1,SL,73,43004313
Pontevedra,2011,1,SL,63,16526166
Salamanca,2011,1,SL,22,3114922
Santa Cruz de Tenerife,2011,1,SL,52,22228479
Cantabria,2011,1,SL,4,613996
Segovia,2011,1,SL,6,2673360
Sevilla,2011,1,SL,108,99446461
Soria,2011,1,SL,2,50006
Tarragona,2011,1,SL,43,7211999
Teruel,2011,1,SL,14,7482003
Toledo,2011,1,SL,26,41539347
Valencia / València,2011,1,SL,173,65072571
Valladolid,2011,1,SL,30,4908101
Bizkaia,2011,1,SL,89,227286709
Zamora,2011,1,SL,9,803957
Zaragoza,2011,1,SL,77,99650364
Ceuta,2011,1,SL,0,0
Melilla,2011,1,SL,0,0
Araba / Álava,2011,1,Otras,2,8626680
Albacete,2011,1,Otras,0,0
Alicante / Alacant,2011,1,Otras,0,0
Almería,2011,1,Otras,0,0
Ávila,2011,1,Otras,0,0
Badajoz,2011,1,Otras,0,0
Illes Balears,2011,1,Otras,0,0
Barcelona,2011,1,Otras,7,1327044
Burgos,2011,1,Otras,0,0
Cáceres,2011,1,Otras,0,0
Cádiz,2011,1,Otras,0,0
Castellón / Castelló,2011,1,Otras,0,0
Ciudad Real,2011,1,Otras,0,0
Córdoba,2011,1,Otras,0,0
A Coruña,2011,1,Otras,0,0
Cuenca,2011,1,Otras,0,0
Girona,2011,1,Otras,0,0
Granada,2011,1,Otras,0,0
Guadalajara,2011,1,Otras,0,0
Gipuzkoa,2011,1,Otras,0,0
Huelva,2011,1,Otras,0,0
Huesca,2011,1,Otras,1,601
Jaén,2011,1,Otras,0,0
León,2011,1,Otras,0,0
Lleida,2011,1,Otras,0,0
La Rioja,2011,1,Otras,0,0
Lugo,2011,1,Otras,0,0
Madrid,2011,1,Otras,6,804532888
Málaga,2011,1,Otras,0,0
Murcia,2011,1,Otras,0,0
Navarra,2011,1,Otras,0,0
Ourense,2011,1,Otras,0,0
Asturias,2011,1,Otras,0,0
Palencia,2011,1,Otras,0,0
Las Palmas,2011,1,Otras,3,23716092
Pontevedra,2011,1,Otras,0,0
Salamanca,2011,1,Otras,0,0
Santa Cruz de Tenerife,2011,1,Otras,0,0
Cantabria,2011,1,Otras,0,0
