province,year,month,form,count,capital_subscribed
Araba / Álava,2011,1,SA,1,100000
Albacete,2011,1,SA,0,0
Alacant / Alicante,2011,1,SA,2,125010
Almería,2011,1,SA,0,0
Ávila,2011,1,SA,0,0
Badajoz,2011,1,SA,0,0
Illes Balears,2011,1,SA,1,100000
Barcelona,2011,1,SA,5,10162911
Burgos,2011,1,SA,1,93400
Cáceres,2011,1,SA,0,0
Cádiz,2011,1,SA,0,0
Castelló / Castellón,2011,1,SA,0,0
Ciudad Real,2011,1,SA,0,0
Córdoba,2011,1,SA,0,0
"Coruña, A",2011,1,SA,0,0
Cuenca,2011,1,SA,0,0
Girona,2011,1,SA,1,60000
Granada,2011,1,SA,1,60000
Guadalajara,2011,1,SA,0,0
Gipuzkoa,2011,1,SA,0,0
Huelva,2011,1,SA,0,0
Huesca,2011,1,SA,0,0
Jaén,2011,1,SA,0,0
León,2011,1,SA,0,0
Lleida,2011,1,SA,0,0
"Rioja, La",2011,1,SA,0,0
Lugo,2011,1,SA,0,0
Madrid,2011,1,SA,25,17727007
Málaga,2011,1,SA,1,114000
Murcia,2011,1,SA,1,60120
Navarra,2011,1,SA,0,0
Ourense,2011,1,SA,0,0
Asturias,2011,1,SA,0,0
Palencia,2011,1,SA,0,0
"Palmas, Las",2011,1,SA,1,60000
Pontevedra,2011,1,SA,2,31598000
Salamanca,2011,1,SA,0,0
Santa Cruz de Tenerife,2011,1,SA,0,0
Cantabria,2011,1,SA,1,60200
Segovia,2011,1,SA,0,0
Sevilla,2011,1,SA,2,121000
Soria,2011,1,SA,0,0
Tarragona,2011,1,SA,0,0
Teruel,2011,1,SA,1,60000
Toledo,2011,1,SA,1,60200
València / Valencia,2011,1,SA,4,240200
Valladolid,2011,1,SA,1,60000
Bizkaia,2011,1,SA,2,1400000
Zamora,2011,1,SA,0,0
Zaragoza,2011,1,SA,1,60200
Ceuta,2011,1,SA,0,0
Melilla,2011,1,SA,0,0
Araba / Álava,2011,1,SL,34,235281
Albacete,2011,1,SL,52,752794
Alacant / Alicante,2011,1,SL,295,12498248
Almería,2011,1,SL,115,1941865
Ávila,2011,1,SL,15,676502
Badajoz,2011,1,SL,67,3714902
Illes Balears,2011,1,SL,166,42433795
Barcelona,2011,1,SL,1030,25061061
Burgos,2011,1,SL,33,570416
Cáceres,2011,1,SL,29,442498
Cádiz,2011,1,SL,105,8479704
Castelló / Castellón,2011,1,SL,91,734337
Ciudad Real,2011,1,SL,58,2363912
Córdoba,2011,1,SL,91,1234149
"Coruña, A",2011,1,SL,129,7355577
Cuenca,2011,1,SL,18,462246
Girona,2011,1,SL,127,10630088
Granada,2011,1,SL,143,10053586
Guadalajara,2011,1,SL,29,676387
Gipuzkoa,2011,1,SL,92,2710468
Huelva,2011,1,SL,42,934278
Huesca,2011,1,SL,17,488956
Jaén,2011,1,SL,59,2997081
León,2011,1,SL,50,14474279
Lleida,2011,1,SL,68,1047475
"Rioja, La",2011,1,SL,32,1531054
Lugo,2011,1,SL,47,752922
Madrid,2011,1,SL,1481,60337044
Málaga,2011,1,SL,287,7901906
Murcia,2011,1,SL,212,5096039
Navarra,2011,1,SL,47,6343489
Ourense,2011,1,SL,28,260130
Asturias,2011,1,SL,107,10526831
Palencia,2011,1,SL,10,62746
"Palmas, Las",2011,1,SL,114,1795093
Pontevedra,2011,1,SL,135,10200695
Salamanca,2011,1,SL,42,253689
Santa Cruz de Tenerife,2011,1,SL,129,3974429
Cantabria,2011,1,SL,71,937373
Segovia,2011,1,SL,12,1222711
Sevilla,2011,1,SL,292,12319150
Soria,2011,1,SL,6,46101
Tarragona,2011,1,SL,84,2777698
Teruel,2011,1,SL,18,1613408
Toledo,2011,1,SL,78,1629646
València / Valencia,2011,1,SL,336,8825799
Valladolid,2011,1,SL,53,4470794
Bizkaia,2011,1,SL,168,9853164
Zamora,2011,1,SL,10,51133
Zaragoza,2011,1,SL,99,14355730
Ceuta,2011,1,SL,7,48126
Melilla,2011,1,SL,9,254480
Araba / Álava,2011,1,Otras,1,3012
Albacete,2011,1,Otras,0,0
Alacant / Alicante,2011,1,Otras,4,5000
Almería,2011,1,Otras,1,1000
Ávila,2011,1,Otras,0,0
Badajoz,2011,1,Otras,0,0
Illes Balears,2011,1,Otras,0,0
Barcelona,2011,1,Otras,15,555600
Burgos,2011,1,Otras,0,0
Cáceres,2011,1,Otras,0,0
Cádiz,2011,1,Otras,1,0
Castelló / Castellón,2011,1,Otras,0,0
Ciudad Real,2011,1,Otras,0,0
Córdoba,2011,1,Otras,1,9090
"Coruña, A",2011,1,Otras,0,0
Cuenca,2011,1,Otras,0,0
Girona,2011,1,Otras,1,12000
Granada,2011,1,Otras,0,0
Guadalajara,2011,1,Otras,0,0
Gipuzkoa,2011,1,Otras,2,3000
Huelva,2011,1,Otras,0,0
Huesca,2011,1,Otras,0,0
Jaén,2011,1,Otras,0,0
León,2011,1,Otras,0,0
Lleida,2011,1,Otras,0,0
"Rioja, La",2011,1,Otras,0,0
Lugo,2011,1,Otras,0,0
Madrid,2011,1,Otras,10,1618616
Málaga,2011,1,Otras,1,3010
Murcia,2011,1,Otras,0,0
Navarra,2011,1,Otras,0,0
Ourense,2011,1,Otras,0,0
Asturias,2011,1,Otras,1,10000
Palencia,2011,1,Otras,0,0
"Palmas, Las",2011,1,Otras,3,4064
Pontevedra,2011,1,Otras,0,0
Salamanca,2011,1,Otras,0,0
Santa Cruz de Tenerife,2011,1,Otras,0,0
Cantabria,2011,1,Otras,1,2241150
Segovia,2011,1,Otras,0,0
Sevilla,2011,1,Otras,3,16000
Soria,2011,1,Otras,0,0
Tarragona,2011,1,Otras,0,0
Teruel,2011,1,Otras,0,0
Toledo,2011,1,Otras,0,0
València / Valencia,2011,1,Otras,1,100000
Valladolid,2011,1,Otras,0,0
Bizkaia,2011,1,Otras,0,0
Zamora,2011,1,Otras,0,0
Zaragoza,2011,1,Otras,0,0
Ceuta,2011,1,Otras,0,0
Melilla,2011,1,Otras,0,0
Araba / Álava,2011,2,SA,1,600000
Albacete,2011,2,SA,0,0
Alacant / Alicante,2011,2,SA,1,60000
Almería,2011,2,SA,0,0
Ávila,2011,2,SA,0,0
Badajoz,2011,2,SA,0,0
Illes Balears,2011,2,SA,3,326000
Barcelona,2011,2,SA,7,1119150
Burgos,2011,2,SA,0,0
Cáceres,2011,2,SA,0,0
Cádiz,2011,2,SA,2,120000
Castelló / Castellón,2011,2,SA,0,0
Ciudad Real,2011,2,SA,0,0
Córdoba,2011,2,SA,1,60101
"Coruña, A",2011,2,SA,1,60582
Cuenca,2011,2,SA,0,0
Girona,2011,2,SA,0,0
Granada,2011,2,SA,1,61000
Guadalajara,2011,2,SA,1,1000000
Gipuzkoa,2011,2,SA,0,0
Huelva,2011,2,SA,0,0
Huesca,2011,2,SA,0,0
Jaén,2011,2,SA,1,60100
León,2011,2,SA,0,0
Lleida,2011,2,SA,0,0
"Rioja, La",2011,2,SA,0,0
Lugo,2011,2,SA,0,0
Madrid,2011,2,SA,17,12206400
Málaga,2011,2,SA,4,240320
Murcia,2011,2,SA,0,0
Navarra,2011,2,SA,0,0
Ourense,2011,2,SA,0,0
Asturias,2011,2,SA,1,1000000
Palencia,2011,2,SA,0,0
"Palmas, Las",2011,2,SA,1,60000
Pontevedra,2011,2,SA,0,0
Salamanca,2011,2,SA,0,0
Santa Cruz de Tenerife,2011,2,SA,2,121000
Cantabria,2011,2,SA,1,60000
Segovia,2011,2,SA,0,0
Sevilla,2011,2,SA,0,0
Soria,2011,2,SA,0,0
Tarragona,2011,2,SA,1,60120
Teruel,2011,2,SA,0,0
Toledo,2011,2,SA,0,0
València / Valencia,2011,2,SA,4,1530100
Valladolid,2011,2,SA,0,0
Bizkaia,2011,2,SA,2,990300
Zamora,2011,2,SA,0,0
