province,year,month,form,count
Araba / Álava,2011,1,SA,0
Albacete,2011,1,SA,2
Alacant / Alicante,2011,1,SA,3
Almería,2011,1,SA,1
Ávila,2011,1,SA,0
Badajoz,2011,1,SA,2
Illes Balears,2011,1,SA,2
Barcelona,2011,1,SA,64
Burgos,2011,1,SA,1
Cáceres,2011,1,SA,1
Cádiz,2011,1,SA,1
Castelló / Castellón,2011,1,SA,2
Ciudad Real,2011,1,SA,1
Córdoba,2011,1,SA,2
"Coruña, A",2011,1,SA,9
Cuenca,2011,1,SA,0
Girona,2011,1,SA,22
Granada,2011,1,SA,1
Guadalajara,2011,1,SA,0
Gipuzkoa,2011,1,SA,10
Huelva,2011,1,SA,1
Huesca,2011,1,SA,0
Jaén,2011,1,SA,4
León,2011,1,SA,1
Lleida,2011,1,SA,0
"Rioja, La",2011,1,SA,2
Lugo,2011,1,SA,1
Madrid,2011,1,SA,80
Málaga,2011,1,SA,2
Murcia,2011,1,SA,1
Navarra,2011,1,SA,0
Ourense,2011,1,SA,1
Asturias,2011,1,SA,9
Palencia,2011,1,SA,0
"Palmas, Las",2011,1,SA,0
Pontevedra,2011,1,SA,7
Salamanca,2011,1,SA,1
Santa Cruz de Tenerife,2011,1,SA,3
Cantabria,2011,1,SA,3
Segovia,2011,1,SA,3
Sevilla,2011,1,SA,11
Soria,2011,1,SA,1
Tarragona,2011,1,SA,8
Teruel,2011,1,SA,0
Toledo,2011,1,SA,5
València / Valencia,2011,1,SA,8
Valladolid,2011,1,SA,1
Bizkaia,2011,1,SA,7
Zamora,2011,1,SA,1
Zaragoza,2011,1,SA,4
Ceuta,2011,1,SA,0
Melilla,2011,1,SA,0
Araba / Álava,2011,1,SL,11
Albacete,2011,1,SL,23
Alacant / Alicante,2011,1,SL,104
Almería,2011,1,SL,38
Ávila,2011,1,SL,3
Badajoz,2011,1,SL,27
Illes Balears,2011,1,SL,80
Barcelona,2011,1,SL,660
Burgos,2011,1,SL,30
Cáceres,2011,1,SL,9
Cádiz,2011,1,SL,37
Castelló / Castellón,2011,1,SL,73
Ciudad Real,2011,1,SL,13
Córdoba,2011,1,SL,29
"Coruña, A",2011,1,SL,80
Cuenca,2011,1,SL,11
Girona,2011,1,SL,112
Granada,2011,1,SL,40
Guadalajara,2011,1,SL,13
